q	I	Err_I
0.003638   0.026975   0.003800
0.003913   0.018139   0.003271
0.004188   0.027272   0.002729
0.004464   0.022323   0.002371
0.004739   0.019102   0.002031
0.005014   0.026043   0.001834
0.005289   0.023557   0.001595
0.005565   0.023914   0.001458
0.005840   0.023305   0.001270
0.006115   0.024586   0.001131
0.006528   0.025083   0.000700
0.007078   0.024858   0.000580
0.007629   0.024648   0.000498
0.008179   0.024120   0.000432
0.008730   0.022895   0.000385
0.009280   0.024011   0.000349
0.009831   0.023485   0.000316
0.010381   0.024295   0.000294
0.010932   0.023285   0.000273
0.011482   0.023280   0.000256
0.012033   0.023374   0.000241
0.012583   0.023272   0.000230
0.013134   0.023246   0.000218
0.013822   0.022998   0.000171
0.014648   0.023068   0.000162
0.015474   0.022819   0.000153
0.016299   0.022313   0.000147
0.017125   0.022337   0.000141
0.017951   0.022274   0.000136
0.018777   0.022042   0.000132
0.019602   0.021844   0.000129
0.020566   0.021418   0.000112
0.021667   0.021107   0.000111
0.022768   0.020893   0.000109
0.023869   0.020697   0.000107
0.024970   0.020496   0.000105
0.026071   0.019996   0.000102
0.027172   0.019737   0.000096
0.028410   0.019388   0.000082
0.029787   0.019069   0.000079
0.031163   0.018529   0.000076
0.032539   0.018135   0.000076
0.033915   0.017717   0.000076
0.035429   0.017184   0.000068
0.037081   0.016699   0.000067
0.038732   0.016235   0.000066
0.040384   0.015790   0.000065
0.042173   0.015209   0.000059
0.044100   0.014514   0.000058
0.046027   0.013990   0.000059
0.047953   0.013360   0.000058
0.050018   0.012744   0.000051
0.052220   0.012125   0.000050
0.054422   0.011539   0.000048
0.056761   0.010808   0.000044
0.059239   0.010275   0.000043
0.061716   0.009654   0.000042
0.064331   0.008993   0.000039
0.067083   0.008489   0.000038
0.069973   0.007867   0.000035
0.073001   0.007210   0.000034
0.076029   0.006746   0.000033
0.079194   0.006218   0.000032
0.082497   0.005667   0.000033
0.085938   0.005268   0.000030
0.089516   0.004777   0.000030
0.093232   0.004471   0.000028
0.097086   0.004043   0.000026
0.101077   0.003686   0.000025
0.105343   0.003374   0.000023
0.109747   0.003046   0.000023
0.114289   0.002733   0.000021
0.119106   0.002498   0.000020
0.124061   0.002209   0.000020
0.129153   0.002004   0.000019
0.134520   0.001810   0.000018
0.140025   0.001630   0.000019
0.145668   0.001435   0.000017
0.151586   0.001293   0.000016
0.157779   0.001130   0.000015
0.164247   0.001002   0.000015
0.170991   0.000900   0.000014
0.178010   0.000791   0.000014
0.185304   0.000673   0.000013
0.192873   0.000579   0.000013
0.200718   0.000471   0.000013
0.208838   0.000421   0.000012
0.217371   0.000369   0.000011
0.226316   0.000289   0.000011
0.235537   0.000244   0.000011
0.245034   0.000220   0.000010
0.254943   0.000180   0.000010
0.265265   0.000156   0.000010
0.275999   0.000131   0.000009
0.287285   0.000128   0.000009
0.298983   0.000101   0.000009
0.311094   0.000090   0.000009
0.323756   0.000105   0.000008
0.336968   0.000107   0.000008
0.350730   0.000099   0.000008
0.365043   0.000104   0.000008
0.379907   0.000108   0.000008
0.395321   0.000116   0.000007
0.411286   0.000113   0.000007
0.427801   0.000112   0.000008
0.445004   0.000102   0.000007
0.462895   0.000115   0.000007
0.481475   0.000108   0.000007
0.500880   0.000108   0.000007
0.521111   0.000098   0.000007
0.542168   0.000101   0.000007
0.564050   0.000100   0.000007
0.586759   0.000088   0.000007
0.610293   0.000078   0.000007
0.634790   0.000066   0.000007
0.660388   0.000080   0.000007
0.686950   0.000074   0.000011
0.712962   0.000027   0.000032
