q	I	Err_I
0.003638   -0.040840   0.010060
0.003913   -0.017094   0.008673
0.004188   -0.015037   0.007243
0.004464   0.007182   0.006276
0.004739   0.016598   0.005385
0.005014   0.020588   0.004861
0.005289   0.030341   0.004214
0.005565   0.032664   0.003878
0.005840   0.036639   0.003372
0.006115   0.042419   0.003003
0.006528   0.043815   0.001850
0.007078   0.045503   0.001528
0.007629   0.050306   0.001314
0.008179   0.051131   0.001130
0.008730   0.049179   0.001006
0.009280   0.050474   0.000910
0.009831   0.049899   0.000820
0.010381   0.049995   0.000759
0.010932   0.050149   0.000702
0.011482   0.048489   0.000659
0.012033   0.050749   0.000621
0.012583   0.049229   0.000592
0.013134   0.049105   0.000559
0.013822   0.048837   0.000438
0.014648   0.048441   0.000412
0.015474   0.047997   0.000391
0.016299   0.047593   0.000374
0.017125   0.047345   0.000359
0.017951   0.046464   0.000346
0.018777   0.045668   0.000333
0.019602   0.045942   0.000325
0.020566   0.044757   0.000282
0.021667   0.044085   0.000280
0.022768   0.043141   0.000275
0.023869   0.041870   0.000271
0.024970   0.041715   0.000265
0.026071   0.040911   0.000257
0.027172   0.040183   0.000241
0.028410   0.038781   0.000206
0.029787   0.038091   0.000197
0.031163   0.036545   0.000189
0.032539   0.035518   0.000190
0.033915   0.034155   0.000190
0.035429   0.032894   0.000170
0.037081   0.031845   0.000167
0.038732   0.030367   0.000164
0.040384   0.028906   0.000160
0.042173   0.027917   0.000145
0.044100   0.026042   0.000144
0.046027   0.024642   0.000147
0.047953   0.023363   0.000143
0.050018   0.021323   0.000126
0.052220   0.020105   0.000123
0.054422   0.018354   0.000119
0.056761   0.017060   0.000108
0.059239   0.015644   0.000106
0.061716   0.014248   0.000103
0.064331   0.012805   0.000095
0.067083   0.011628   0.000093
0.069973   0.010359   0.000086
0.073001   0.009074   0.000084
0.076029   0.008141   0.000082
0.079194   0.007064   0.000079
0.082497   0.006152   0.000082
0.085938   0.005466   0.000075
0.089516   0.004827   0.000074
0.093232   0.004134   0.000070
0.097086   0.003631   0.000066
0.101077   0.003135   0.000062
0.105343   0.002844   0.000059
0.109747   0.002362   0.000057
0.114289   0.002026   0.000054
0.119106   0.001805   0.000051
0.124061   0.001557   0.000050
0.129153   0.001437   0.000048
0.134520   0.001191   0.000046
0.140025   0.001075   0.000048
0.145668   0.000898   0.000045
0.151586   0.000774   0.000042
0.157779   0.000711   0.000040
0.164247   0.000569   0.000039
0.170991   0.000488   0.000037
0.178010   0.000537   0.000036
0.185304   0.000431   0.000035
0.192873   0.000320   0.000034
0.200718   0.000314   0.000034
0.208838   0.000256   0.000032
0.217371   0.000273   0.000030
0.226316   0.000293   0.000029
0.235537   0.000268   0.000029
0.245034   0.000237   0.000028
0.254943   0.000213   0.000027
0.265265   0.000190   0.000026
0.275999   0.000119   0.000025
0.287285   0.000151   0.000024
0.298983   0.000177   0.000023
0.311094   0.000117   0.000023
0.323756   0.000117   0.000022
0.336968   0.000142   0.000021
0.350730   0.000162   0.000021
0.365043   0.000153   0.000020
0.379907   0.000134   0.000021
0.395321   0.000127   0.000020
0.411286   0.000158   0.000020
0.427801   0.000129   0.000020
0.445004   0.000093   0.000020
0.462895   0.000138   0.000019
0.481475   0.000100   0.000019
0.500880   0.000134   0.000020
0.521111   0.000139   0.000019
0.542168   0.000164   0.000020
0.564050   0.000124   0.000019
0.586759   0.000144   0.000019
0.610293   0.000135   0.000020
0.634790   0.000131   0.000019
0.660388   0.000135   0.000020
0.686950   0.000107   0.000030
0.712962   0.000166   0.000085
