q	I	Err_I
0.004540   0.046631   0.008333
0.004815   0.010255   0.007425
0.005090   0.009530   0.006061
0.005365   0.034625   0.005854
0.005641   0.004651   0.004636
0.005916   0.012064   0.004299
0.006191   0.015996   0.003790
0.006466   0.018304   0.003286
0.006741   0.012819   0.003103
0.007016   0.015194   0.002626
0.007429   0.015838   0.001699
0.007979   0.013725   0.001408
0.008530   0.013046   0.001219
0.009080   0.013344   0.001024
0.009630   0.012450   0.000928
0.010181   0.011557   0.000819
0.010731   0.011842   0.000749
0.011281   0.010934   0.000686
0.011832   0.012396   0.000631
0.012382   0.010713   0.000590
0.012932   0.010724   0.000550
0.013482   0.011787   0.000523
0.014033   0.010909   0.000493
0.014721   0.011865   0.000380
0.015546   0.011466   0.000356
0.016372   0.011412   0.000337
0.017197   0.011193   0.000317
0.018022   0.010961   0.000303
0.018848   0.010958   0.000294
0.019673   0.011055   0.000281
0.020499   0.010800   0.000274
0.021462   0.010464   0.000239
0.022562   0.010379   0.000235
0.023663   0.010239   0.000234
0.024764   0.009867   0.000227
0.025864   0.009674   0.000223
0.026965   0.009295   0.000215
0.028066   0.009402   0.000202
0.029304   0.009062   0.000173
0.030679   0.008807   0.000166
0.032055   0.008935   0.000162
0.033431   0.008708   0.000163
0.034807   0.008201   0.000163
0.036320   0.007951   0.000146
0.037971   0.007998   0.000145
0.039622   0.007498   0.000142
0.041273   0.007317   0.000140
0.043061   0.006916   0.000129
0.044987   0.006669   0.000133
0.046913   0.006413   0.000131
0.048839   0.005985   0.000125
0.050903   0.005609   0.000113
0.053104   0.005265   0.000111
0.055306   0.004975   0.000108
0.057644   0.004698   0.000100
0.060121   0.004237   0.000098
0.062597   0.004030   0.000096
0.065211   0.003641   0.000090
0.067963   0.003318   0.000088
0.070852   0.003079   0.000082
0.073878   0.002748   0.000081
0.076905   0.002518   0.000079
0.080069   0.002317   0.000078
0.083371   0.002048   0.000081
0.086810   0.001800   0.000074
0.090387   0.001524   0.000072
0.094102   0.001497   0.000070
0.097954   0.001258   0.000067
0.101944   0.001172   0.000062
0.106209   0.001005   0.000059
0.110611   0.000864   0.000058
0.115151   0.000792   0.000055
0.119966   0.000697   0.000052
0.124919   0.000701   0.000051
0.130009   0.000596   0.000048
0.135375   0.000551   0.000046
0.140878   0.000439   0.000049
0.146518   0.000270   0.000046
0.152434   0.000281   0.000043
0.158625   0.000246   0.000041
0.165091   0.000340   0.000039
0.171832   0.000331   0.000038
0.178849   0.000236   0.000036
0.186140   0.000242   0.000035
0.193707   0.000263   0.000034
0.201549   0.000199   0.000035
0.209666   0.000242   0.000033
0.218195   0.000241   0.000031
0.227138   0.000182   0.000030
0.236355   0.000179   0.000029
0.245848   0.000130   0.000028
0.255754   0.000139   0.000028
0.266072   0.000121   0.000027
0.276803   0.000124   0.000025
0.288084   0.000130   0.000024
0.299778   0.000136   0.000024
0.311885   0.000117   0.000023
0.324542   0.000115   0.000023
0.337749   0.000163   0.000022
0.351506   0.000125   0.000021
0.365814   0.000132   0.000021
0.380673   0.000111   0.000021
0.396081   0.000105   0.000020
0.412040   0.000095   0.000020
0.428549   0.000147   0.000021
0.445746   0.000091   0.000020
0.463631   0.000087   0.000020
0.482204   0.000130   0.000020
0.501602   0.000110   0.000020
0.521825   0.000086   0.000019
0.542875   0.000114   0.000019
0.564749   0.000120   0.000019
0.587449   0.000119   0.000019
0.610975   0.000096   0.000020
0.635463   0.000095   0.000019
0.661052   0.000068   0.000020
0.687604   0.000082   0.000030
0.713744   -0.000009   0.000084
