q	I	Err_I
0.003638   -0.000558   0.007163
0.003913   0.001818   0.006150
0.004188   0.020917   0.005119
0.004464   0.012472   0.004453
0.004739   0.005427   0.003816
0.005014   0.013293   0.003439
0.005289   0.020796   0.002968
0.005565   0.013179   0.002731
0.005840   0.017401   0.002355
0.006115   0.017488   0.002087
0.006528   0.015514   0.001290
0.007078   0.018517   0.001052
0.007629   0.017004   0.000898
0.008179   0.016539   0.000765
0.008730   0.016813   0.000677
0.009280   0.017402   0.000606
0.009831   0.017590   0.000544
0.010381   0.016842   0.000500
0.010932   0.018284   0.000458
0.011482   0.017189   0.000427
0.012033   0.017389   0.000400
0.012583   0.016697   0.000378
0.013134   0.016930   0.000355
0.013822   0.017082   0.000277
0.014648   0.017266   0.000260
0.015474   0.017165   0.000245
0.016299   0.017049   0.000234
0.017125   0.017320   0.000223
0.017951   0.017086   0.000215
0.018777   0.017199   0.000207
0.019602   0.016535   0.000202
0.020566   0.016764   0.000176
0.021667   0.016587   0.000174
0.022768   0.016492   0.000172
0.023869   0.016174   0.000169
0.024970   0.016197   0.000166
0.026071   0.015797   0.000161
0.027172   0.015862   0.000152
0.028410   0.015696   0.000130
0.029787   0.015348   0.000125
0.031163   0.015488   0.000121
0.032539   0.015246   0.000122
0.033915   0.015098   0.000122
0.035429   0.015073   0.000110
0.037081   0.014634   0.000109
0.038732   0.014455   0.000107
0.040384   0.014116   0.000106
0.042173   0.013712   0.000096
0.044100   0.013472   0.000096
0.046027   0.013386   0.000099
0.047953   0.012961   0.000097
0.050018   0.012656   0.000086
0.052220   0.012212   0.000084
0.054422   0.011748   0.000083
0.056761   0.011451   0.000076
0.059239   0.011016   0.000074
0.061716   0.010640   0.000073
0.064331   0.010064   0.000068
0.067083   0.009689   0.000066
0.069973   0.009200   0.000062
0.073001   0.008677   0.000061
0.076029   0.008267   0.000059
0.079194   0.007737   0.000058
0.082497   0.007237   0.000060
0.085938   0.006722   0.000055
0.089516   0.006192   0.000054
0.093232   0.005727   0.000051
0.097086   0.005230   0.000049
0.101077   0.004758   0.000045
0.105343   0.004258   0.000043
0.109747   0.003826   0.000042
0.114289   0.003383   0.000039
0.119106   0.002950   0.000037
0.124061   0.002584   0.000036
0.129153   0.002211   0.000034
0.134520   0.001876   0.000033
0.140025   0.001591   0.000035
0.145668   0.001397   0.000032
0.151586   0.001140   0.000030
0.157779   0.000944   0.000029
0.164247   0.000763   0.000027
0.170991   0.000638   0.000026
0.178010   0.000506   0.000025
0.185304   0.000416   0.000025
0.192873   0.000342   0.000024
0.200718   0.000288   0.000024
0.208838   0.000203   0.000023
0.217371   0.000177   0.000021
0.226316   0.000196   0.000021
0.235537   0.000178   0.000020
0.245034   0.000109   0.000019
0.254943   0.000163   0.000019
0.265265   0.000126   0.000019
0.275999   0.000122   0.000018
0.287285   0.000162   0.000017
0.298983   0.000131   0.000016
0.311094   0.000127   0.000016
0.323756   0.000181   0.000016
0.336968   0.000176   0.000015
0.350730   0.000149   0.000014
0.365043   0.000211   0.000014
0.379907   0.000161   0.000015
0.395321   0.000189   0.000014
0.411286   0.000162   0.000014
0.427801   0.000183   0.000014
0.445004   0.000184   0.000014
0.462895   0.000191   0.000014
0.481475   0.000215   0.000014
0.500880   0.000201   0.000014
0.521111   0.000233   0.000013
0.542168   0.000239   0.000014
0.564050   0.000221   0.000014
0.586759   0.000217   0.000013
0.610293   0.000209   0.000014
0.634790   0.000225   0.000013
0.660388   0.000170   0.000014
0.686950   0.000189   0.000021
0.712962   0.000240   0.000059
