#Frames for background: 30  80
#Sample: SEC-SAXS
#q	I	Err_I
  5.383004e-03   3.454497e-02   2.842179e-03
  5.855616e-03   2.878362e-02   2.303917e-03
  6.328229e-03   2.887185e-02   2.009313e-03
  6.800841e-03   2.622965e-02   1.725773e-03
  7.273453e-03   2.850789e-02   1.420183e-03
  7.746066e-03   2.624391e-02   1.292025e-03
  8.218678e-03   2.433474e-02   1.148822e-03
  8.691290e-03   2.429544e-02   1.056896e-03
  9.163903e-03   2.316649e-02   8.995306e-04
  9.636515e-03   2.420657e-02   8.370758e-04
  1.034544e-02   2.038766e-02   5.445569e-04
  1.129066e-02   1.932873e-02   4.516098e-04
  1.223588e-02   1.667323e-02   4.192663e-04
  1.318111e-02   1.568295e-02   3.640182e-04
  1.412634e-02   1.428211e-02   3.433912e-04
  1.507156e-02   1.357050e-02   3.060159e-04
  1.601678e-02   1.201817e-02   2.904220e-04
  1.696201e-02   1.064174e-02   2.615003e-04
  1.790724e-02   9.244164e-03   2.539953e-04
  1.885246e-02   8.559037e-03   2.308828e-04
  1.979768e-02   7.854483e-03   2.230375e-04
  2.074290e-02   7.044063e-03   2.116040e-04
  2.168813e-02   6.175551e-03   1.994227e-04
  2.286966e-02   5.604838e-03   1.567476e-04
  2.428750e-02   4.795078e-03   1.479715e-04
  2.570533e-02   4.352707e-03   1.402956e-04
  2.712317e-02   3.598496e-03   1.332817e-04
  2.854101e-02   3.049833e-03   1.292808e-04
  2.995885e-02   2.903985e-03   1.223702e-04
  3.137668e-02   2.574019e-03   1.189559e-04
  3.279452e-02   2.176287e-03   1.150604e-04
  3.444866e-02   1.999888e-03   9.717136e-05
  3.633911e-02   1.580432e-03   1.003325e-04
  3.822956e-02   1.419002e-03   1.041642e-04
  4.012001e-02   1.325815e-03   1.090455e-04
  4.201046e-02   1.158078e-03   1.184915e-04
  4.390091e-02   8.783631e-04   1.265068e-04
  4.579136e-02   7.148971e-04   1.304735e-04
  4.791812e-02   6.569881e-04   1.092600e-04
  5.028118e-02   6.211281e-04   1.046889e-04
  5.264424e-02   5.731015e-04   1.026691e-04
  5.500730e-02   5.002487e-04   9.949339e-05
  5.737036e-02   3.399517e-04   9.648850e-05
  5.996973e-02   4.814990e-04   8.618819e-05
  6.280540e-02   4.828754e-04   8.489040e-05
  6.564108e-02   4.137058e-04   8.379134e-05
  6.847675e-02   1.693718e-04   8.195489e-05
  7.154873e-02   2.312841e-04   7.517926e-05
  7.485702e-02   3.281615e-04   7.415196e-05
  7.816531e-02   2.214061e-04   7.274353e-05
  8.147359e-02   3.601044e-04   7.223101e-05
  8.501818e-02   3.590007e-04   6.651021e-05
  8.879908e-02   3.141628e-04   6.529730e-05
  9.257998e-02   3.188538e-04   6.438303e-05
  9.659719e-02   2.920038e-04   5.984558e-05
  1.008507e-01   3.258439e-04   5.888005e-05
  1.051042e-01   3.805134e-04   5.808236e-05
  1.095940e-01   3.053694e-04   5.402352e-05
  1.143201e-01   3.263576e-04   5.335749e-05
  1.192826e-01   2.823873e-04   5.036208e-05
  1.244813e-01   1.778936e-04   5.581061e-05
  1.296801e-01   2.868843e-04   5.244481e-05
  1.351151e-01   1.568437e-04   4.686925e-05
  1.407864e-01   2.160780e-04   4.591544e-05
  1.466941e-01   2.077280e-04   4.321268e-05
  1.528381e-01   2.099565e-04   4.491805e-05
  1.592183e-01   2.137725e-04   4.055433e-05
  1.658349e-01   1.789115e-04   3.978106e-05
  1.726878e-01   2.106214e-04   3.759192e-05
  1.800133e-01   1.707621e-04   3.569224e-05
  1.875751e-01   1.645040e-04   3.501135e-05
  1.953732e-01   1.025510e-04   3.315708e-05
  2.036439e-01   7.997587e-05   3.388141e-05
  2.121509e-01   1.282983e-04   3.270528e-05
  2.208942e-01   1.036592e-04   3.037276e-05
  2.301102e-01   9.250287e-05   2.889136e-05
  2.395624e-01   9.770228e-05   2.824036e-05
  2.492510e-01   6.720483e-05   2.697511e-05
  2.594121e-01   2.583920e-05   2.579094e-05
  2.700459e-01   -4.646184e-06   2.472163e-05
  2.811523e-01   5.530915e-05   2.436947e-05
  2.927313e-01   3.640409e-05   2.398844e-05
  3.047829e-01   6.928728e-05   2.236976e-05
  3.173072e-01   6.173869e-05   2.141495e-05
  3.303040e-01   7.301489e-05   2.056968e-05
  3.437734e-01   -7.455946e-06   2.127694e-05
  3.577155e-01   5.087403e-05   2.196409e-05
  3.723665e-01   5.005011e-05   2.501320e-05
  3.877264e-01   5.179059e-05   2.781870e-05
  4.035589e-01   1.263947e-04   3.014406e-05
  4.198640e-01   7.394879e-05   3.364467e-05
  4.368781e-01   1.140847e-05   3.786662e-05
  4.546010e-01   3.387812e-05   4.424720e-05
  4.730329e-01   9.583883e-05   5.996066e-05
  4.893381e-01   4.740318e-05   1.725684e-04
