#Sample: SEC-SAXS
#q	I	Err_I	Err_q
  5.103730e-03   5.237870e+00   4.481014e-01   1.579770e-03
  5.844500e-03   4.130176e+00   3.219826e-01   1.646030e-03
  6.590150e-03   3.837088e+00   2.781368e-01   1.654490e-03
  7.333120e-03   3.452816e+00   2.444842e-01   1.662560e-03
  8.077480e-03   3.253949e+00   2.238415e-01   1.664080e-03
  8.828990e-03   3.508724e+00   2.152036e-01   1.674370e-03
  9.580530e-03   2.680196e+00   1.862648e-01   1.681310e-03
  1.032600e-02   2.411702e+00   1.729326e-01   1.686510e-03
  1.107780e-02   2.633078e+00   1.676241e-01   1.695760e-03
  1.182960e-02   2.076111e+00   1.498031e-01   1.706270e-03
  1.256820e-02   1.883740e+00   1.406050e-01   1.710600e-03
  1.331160e-02   1.995597e+00   1.359893e-01   1.721730e-03
  1.406500e-02   1.574901e+00   1.221877e-01   1.734470e-03
  1.481820e-02   1.581756e+00   1.178882e-01   1.744730e-03
  1.556740e-02   1.305996e+00   1.097182e-01   1.752510e-03
  1.631190e-02   1.299528e+00   1.071246e-01   1.764890e-03
  1.706180e-02   1.105124e+00   9.712859e-02   1.777660e-03
  1.781130e-02   1.046582e+00   9.513852e-02   1.791030e-03
  1.855890e-02   1.088872e+00   9.242379e-02   1.802480e-03
  1.930790e-02   7.528994e-01   8.175474e-02   1.816290e-03
  2.005260e-02   8.262071e-01   8.265382e-02   1.828070e-03
  2.080520e-02   7.382478e-01   7.725378e-02   1.842690e-03
  2.155470e-02   6.429498e-01   7.382340e-02   1.859540e-03
  2.229640e-02   5.775540e-01   7.041509e-02   1.872110e-03
  2.304540e-02   4.854167e-01   6.582275e-02   1.887550e-03
  2.379730e-02   5.721248e-01   6.703642e-02   1.904010e-03
  2.454780e-02   3.777486e-01   6.138035e-02   1.918570e-03
  2.529230e-02   3.302593e-01   5.818851e-02   1.934190e-03
  2.603320e-02   4.017532e-01   6.006408e-02   1.951880e-03
  2.678430e-02   5.878661e-01   6.289302e-02   1.970410e-03
  2.754040e-02   3.000061e-01   5.476497e-02   1.986400e-03
  2.828850e-02   3.089359e-01   5.456843e-02   2.003400e-03
  2.903110e-02   3.807746e-01   5.628391e-02   2.021830e-03
  2.977590e-02   3.753209e-01   5.499140e-02   2.039130e-03
  3.052250e-02   3.267761e-01   5.439562e-02   2.073980e-03
  3.127160e-02   4.316197e-01   5.688265e-02   2.102480e-03
  3.201730e-02   4.654695e-01   5.888961e-02   2.126640e-03
  3.276280e-02   2.528853e-01   5.274295e-02   2.148620e-03
  3.350950e-02   3.141955e-01   5.402562e-02   2.172120e-03
  3.426200e-02   3.341646e-01   5.437093e-02   2.190560e-03
  3.500850e-02   3.088565e-01   5.380829e-02   2.213700e-03
  3.574900e-02   2.246495e-01   5.126680e-02   2.234430e-03
  3.650280e-02   2.473909e-01   5.089832e-02   2.255510e-03
  3.725970e-02   1.793522e-01   4.909173e-02   2.275890e-03
  3.800150e-02   2.328357e-01   5.106644e-02   2.294370e-03
  3.874190e-02   1.665931e-01   4.851008e-02   2.316810e-03
  3.949010e-02   1.582184e-01   4.672145e-02   2.338060e-03
  4.024490e-02   1.222210e-01   4.563297e-02   2.359430e-03
  4.099160e-02   1.387749e-01   4.628863e-02   2.378120e-03
  4.173750e-02   2.338645e-01   4.880522e-02   2.400020e-03
  4.248580e-02   1.346182e-01   4.523178e-02   2.420350e-03
  4.323150e-02   1.964331e-01   4.738241e-02   2.443330e-03
  4.398510e-02   1.185855e-01   4.423584e-02   2.464490e-03
  4.472820e-02   8.700170e-02   4.445656e-02   2.485800e-03
  4.547090e-02   1.384046e-01   4.674302e-02   2.507850e-03
  4.622050e-02   7.693240e-02   4.765597e-02   2.533830e-03
  4.696660e-02   1.739818e-01   5.230383e-02   2.555390e-03
  4.771370e-02   1.251050e-01   5.101598e-02   2.576320e-03
  4.846470e-02   1.536671e-01   5.468875e-02   2.595970e-03
  4.921160e-02   7.514963e-02   5.102720e-02   2.614570e-03
  4.995680e-02   -2.891700e-02   4.968088e-02   2.631290e-03
  5.070080e-02   8.220595e-02   5.501711e-02   2.647370e-03
  5.144740e-02   6.293893e-02   5.541363e-02   2.665210e-03
  5.219430e-02   2.102837e-02   5.535602e-02   2.682540e-03
  5.294440e-02   1.407364e-01   5.990518e-02   2.696070e-03
  5.369250e-02   -3.784982e-03   5.479946e-02   2.709600e-03
  2.908870e-02   3.829582e-01   1.181095e-02   6.345910e-03
  3.342360e-02   2.655190e-01   6.318715e-03   6.641240e-03
  3.757130e-02   2.069939e-01   5.038748e-03   6.877440e-03
  4.176250e-02   1.577290e-01   4.396952e-03   6.989460e-03
  4.589430e-02   1.289450e-01   4.096468e-03   7.040430e-03
