q	I	Err_I
0.004463   0.046168   0.005473
0.004740   0.048176   0.004617
0.005017   0.046791   0.003955
0.005294   0.048309   0.003431
0.005571   0.051794   0.002993
0.005848   0.050504   0.002611
0.006126   0.048949   0.002315
0.006403   0.045642   0.002046
0.006680   0.045100   0.001835
0.006957   0.046338   0.001684
0.007373   0.047892   0.001022
0.007927   0.046116   0.000868
0.008482   0.045318   0.000761
0.009036   0.045968   0.000666
0.009590   0.045546   0.000600
0.010145   0.044231   0.000543
0.010699   0.043611   0.000493
0.011253   0.042915   0.000463
0.011808   0.041495   0.000428
0.012362   0.041385   0.000403
0.012916   0.040762   0.000381
0.013471   0.039583   0.000361
0.014025   0.038534   0.000342
0.014718   0.037227   0.000266
0.015549   0.036547   0.000252
0.016381   0.034991   0.000238
0.017213   0.033967   0.000227
0.018044   0.032688   0.000218
0.018876   0.031480   0.000208
0.019707   0.030102   0.000200
0.020539   0.029602   0.000193
0.021509   0.028188   0.000163
0.022617   0.026960   0.000163
0.023726   0.025644   0.000160
0.024835   0.024685   0.000157
0.025943   0.023251   0.000154
0.027052   0.022088   0.000150
0.028161   0.021114   0.000141
0.029408   0.020078   0.000119
0.030794   0.018667   0.000113
0.032180   0.018101   0.000112
0.033566   0.016942   0.000112
0.034951   0.015946   0.000110
0.036476   0.015205   0.000099
0.038139   0.014013   0.000096
0.039802   0.013352   0.000094
0.041465   0.012551   0.000093
0.043267   0.011756   0.000087
0.045207   0.010824   0.000088
0.047147   0.010213   0.000085
0.049087   0.009502   0.000082
0.051166   0.008894   0.000074
0.053383   0.008103   0.000072
0.055601   0.007556   0.000070
0.057957   0.007010   0.000065
0.060451   0.006473   0.000063
0.062946   0.005872   0.000062
0.065579   0.005440   0.000057
0.068351   0.004980   0.000056
0.071261   0.004555   0.000052
0.074310   0.004215   0.000051
0.077359   0.003782   0.000050
0.080546   0.003412   0.000048
0.083872   0.003001   0.000050
0.087337   0.002756   0.000047
0.090940   0.002445   0.000045
0.094682   0.002312   0.000044
0.098562   0.002048   0.000042
0.102581   0.001828   0.000039
0.106877   0.001623   0.000037
0.111312   0.001493   0.000036
0.115885   0.001272   0.000034
0.120736   0.001125   0.000032
0.125725   0.000997   0.000031
0.130853   0.000857   0.000030
0.136258   0.000801   0.000029
0.141801   0.000744   0.000030
0.147483   0.000665   0.000028
0.153442   0.000559   0.000027
0.159678   0.000481   0.000025
0.166192   0.000477   0.000024
0.172983   0.000403   0.000023
0.180051   0.000421   0.000022
0.187396   0.000377   0.000022
0.195018   0.000344   0.000021
0.202917   0.000289   0.000022
0.211094   0.000281   0.000020
0.219686   0.000242   0.000019
0.228694   0.000271   0.000018
0.237979   0.000235   0.000018
0.247542   0.000237   0.000017
0.257520   0.000188   0.000017
0.267914   0.000215   0.000017
0.278724   0.000194   0.000016
0.290087   0.000187   0.000015
0.301867   0.000181   0.000015
0.314063   0.000146   0.000014
0.326813   0.000171   0.000014
0.340117   0.000167   0.000013
0.353975   0.000113   0.000013
0.368388   0.000120   0.000013
0.383356   0.000131   0.000013
0.398877   0.000128   0.000012
0.414953   0.000115   0.000012
0.431583   0.000122   0.000013
0.448907   0.000129   0.000012
0.466923   0.000118   0.000012
0.485632   0.000106   0.000012
0.505172   0.000115   0.000012
0.525544   0.000096   0.000012
0.546748   0.000126   0.000012
0.568783   0.000108   0.000012
0.591650   0.000107   0.000012
0.615348   0.000111   0.000012
0.640016   0.000126   0.000012
0.665793   0.000076   0.000012
0.692540   0.000081   0.000018
0.718871   0.000162   0.000051
