q	I	Err_I
0.003638   0.048717   0.011394
0.003913   0.039033   0.009797
0.004188   0.031386   0.008148
0.004464   0.050000   0.007084
0.004739   0.025945   0.006058
0.005014   0.036776   0.005470
0.005289   0.031753   0.004732
0.005565   0.031278   0.004320
0.005840   0.027301   0.003733
0.006115   0.029021   0.003337
0.006528   0.032485   0.002046
0.007078   0.028245   0.001678
0.007629   0.030637   0.001431
0.008179   0.030852   0.001217
0.008730   0.029370   0.001076
0.009280   0.028193   0.000963
0.009831   0.027965   0.000859
0.010381   0.026852   0.000786
0.010932   0.028121   0.000722
0.011482   0.027624   0.000674
0.012033   0.026565   0.000625
0.012583   0.026601   0.000591
0.013134   0.025026   0.000558
0.013822   0.024900   0.000430
0.014648   0.023508   0.000403
0.015474   0.022804   0.000377
0.016299   0.022296   0.000359
0.017125   0.021758   0.000341
0.017951   0.020755   0.000327
0.018777   0.019665   0.000312
0.019602   0.019231   0.000305
0.020566   0.018180   0.000262
0.021667   0.017574   0.000259
0.022768   0.016226   0.000253
0.023869   0.015630   0.000248
0.024970   0.014995   0.000242
0.026071   0.014251   0.000233
0.027172   0.013538   0.000219
0.028410   0.013220   0.000187
0.029787   0.011720   0.000179
0.031163   0.011037   0.000172
0.032539   0.010483   0.000173
0.033915   0.009850   0.000172
0.035429   0.008839   0.000155
0.037081   0.008338   0.000153
0.038732   0.007690   0.000150
0.040384   0.007359   0.000147
0.042173   0.006767   0.000135
0.044100   0.006542   0.000135
0.046027   0.006087   0.000137
0.047953   0.005502   0.000134
0.050018   0.005024   0.000120
0.052220   0.004581   0.000118
0.054422   0.004453   0.000115
0.056761   0.004110   0.000106
0.059239   0.003856   0.000104
0.061716   0.003643   0.000102
0.064331   0.003260   0.000095
0.067083   0.003054   0.000094
0.069973   0.003006   0.000088
0.073001   0.002597   0.000086
0.076029   0.002548   0.000085
0.079194   0.002294   0.000083
0.082497   0.002231   0.000087
0.085938   0.001989   0.000080
0.089516   0.001967   0.000080
0.093232   0.001933   0.000075
0.097086   0.001631   0.000072
0.101077   0.001553   0.000067
0.105343   0.001355   0.000064
0.109747   0.001400   0.000062
0.114289   0.001225   0.000059
0.119106   0.001161   0.000056
0.124061   0.000993   0.000055
0.129153   0.001062   0.000053
0.134520   0.000960   0.000050
0.140025   0.000841   0.000053
0.145668   0.000790   0.000050
0.151586   0.000803   0.000047
0.157779   0.000828   0.000045
0.164247   0.000694   0.000043
0.170991   0.000641   0.000041
0.178010   0.000536   0.000039
0.185304   0.000568   0.000038
0.192873   0.000543   0.000037
0.200718   0.000517   0.000038
0.208838   0.000427   0.000036
0.217371   0.000426   0.000033
0.226316   0.000393   0.000032
0.235537   0.000409   0.000032
0.245034   0.000368   0.000030
0.254943   0.000310   0.000030
0.265265   0.000320   0.000029
0.275999   0.000314   0.000028
0.287285   0.000305   0.000026
0.298983   0.000272   0.000026
0.311094   0.000243   0.000025
0.323756   0.000249   0.000025
0.336968   0.000248   0.000023
0.350730   0.000188   0.000023
0.365043   0.000224   0.000022
0.379907   0.000220   0.000023
0.395321   0.000170   0.000022
0.411286   0.000234   0.000022
0.427801   0.000176   0.000022
0.445004   0.000172   0.000022
0.462895   0.000149   0.000021
0.481475   0.000171   0.000021
0.500880   0.000152   0.000022
0.521111   0.000142   0.000021
0.542168   0.000151   0.000021
0.564050   0.000125   0.000021
0.586759   0.000149   0.000021
0.610293   0.000120   0.000022
0.634790   0.000180   0.000021
0.660388   0.000144   0.000022
0.686950   0.000130   0.000033
0.712962   0.000137   0.000094
